hhid	gender1	work1	age1	driver1	gender2	work2	age2	driver2	age	comp	prov	sted	subzone	pc4	child	sec	num_cars	drivers
619107	0	2	1	0	1	0	0	0	1	3	3	4	124	7823	2	3	1	1
287095	0	0	3	0	1	0	2	0	3	2	2	5	57	9291	0	2	1	2
627899	0	2	1	0	1	2	1	0	1	4	3	4	125	7831	3	3	2	2
367266	0	0	3	0	999999	999999	999999	999999	3	0	2	5	72	9012	0	3	1	1
487117	1	0	4	0	999999	999999	999999	999999	4	0	2	5	97	8434	0	3	0	0
414865	0	2	0	0	1	1	0	0	0	4	2	3	82	8605	1	0	1	2
439095	0	0	3	0	1	0	3	0	3	2	2	4	87	8539	0	0	1	2
312851	0	2	2	0	1	1	1	0	2	4	2	5	61	9047	0	3	1	2
200611	0	0	4	0	1	0	3	0	4	2	1	1	38	9728	0	3	1	1
137969	0	2	0	0	999999	999999	999999	999999	0	1	1	1	28	9711	0	3	0	1
493742	0	0	3	0	1	0	3	0	3	2	2	5	98	8401	0	3	1	1
866920	1	0	1	0	999999	999999	999999	999999	1	0	4	2	179	7419	0	3	1	1
1013379	1	2	1	0	999999	999999	999999	999999	1	1	4	3	206	7577	0	2	0	0
230321	0	2	0	0	1	1	0	0	0	4	1	1	44	9743	0	1	0	0
208560	0	0	3	0	1	1	2	0	3	3	1	1	40	9732	0	1	1	2
133860	1	0	0	0	999999	999999	999999	999999	0	0	1	1	28	9711	0	0	0	2
750510	0	0	3	0	1	0	2	0	3	2	4	4	156	8271	0	2	1	2
548668	1	0	4	0	999999	999999	999999	999999	4	0	3	3	110	9402	0	3	0	0
606564	0	2	1	0	1	0	1	0	1	3	3	4	121	7812	3	3	2	2
796956	0	0	4	0	999999	999999	999999	999999	4	0	4	2	165	8031	0	3	0	0
29416	0	0	1	0	1	0	1	0	1	2	1	5	6	9663	1	2	1	2
706828	0	0	3	0	1	0	3	0	3	2	3	3	145	7943	0	3	1	1
868329	0	2	0	0	999999	999999	999999	999999	0	1	4	2	179	7419	0	3	1	1
852823	1	0	1	0	999999	999999	999999	999999	1	0	4	5	176	8121	0	2	0	0
700330	0	0	1	0	999999	999999	999999	999999	1	0	3	3	144	7941	0	3	1	1
134072	1	0	0	0	999999	999999	999999	999999	0	0	1	1	28	9711	3	2	1	1
1010323	0	2	1	0	1	1	1	0	1	4	4	4	205	7581	2	2	2	2
110079	0	0	3	0	999999	999999	999999	999999	3	0	1	3	23	9611	0	3	1	1
734865	0	2	0	0	1	2	0	0	0	4	4	4	153	8281	0	3	2	2
345294	0	0	3	0	999999	999999	999999	999999	3	0	2	2	68	8926	0	3	1	1
